"","Module","Symbol","X0rder","Function","Module_gene"
"111","M4.6","IRF2",1662,"M4.6.Inflammation","M4.6_IRF2"
"112","M4.6","MEFV",1665,"M4.6.Inflammation","M4.6_MEFV"
"113","M4.6","IFNAR1",1682,"M4.6.Inflammation","M4.6_IFNAR1"
"114","M4.6","LYN",1686,"M4.6.Inflammation","M4.6_LYN"
"115","M4.7","BMI1",1708,"M4.7.Cell Cycle","M4.7_BMI1"
"116","M4.7","FYN",1758,"M4.7.Cell Cycle","M4.7_FYN"
"117","M4.7","ATM",1770,"M4.7.Cell Cycle","M4.7_ATM"
"118","M4.9","CXCR4",1909,"M4.9","M4.9_CXCR4"
"119","M4.9","FCGR2A",1910,"M4.9","M4.9_FCGR2A"
"120","M4.9","IL6R",1924,"M4.9","M4.9_IL6R"
"121","M4.9","BCL10",1932,"M4.9","M4.9_BCL10"
"122","M4.9","PSEN1",1938,"M4.9","M4.9_PSEN1"
"123","M4.9","CCR2",1954,"M4.9","M4.9_CCR2"
"124","M4.9","CASP8",1955,"M4.9","M4.9_CASP8"
"125","M4.10","CCR6",1962,"M4.10.B cells","M4.10_CCR6"
"126","M4.10","CD79A",1966,"M4.10.B cells","M4.10_CD79A"
"127","M4.10","CD19",1968,"M4.10.B cells","M4.10_CD19"
"128","M4.10","MS4A1",1975,"M4.10.B cells","M4.10_MS4A1"
"129","M4.10","CD79B",1979,"M4.10.B cells","M4.10_CD79B"
"130","M4.10","HLA-DOB",1981,"M4.10.B cells","M4.10_HLA-DOB"
"131","M4.10","BLNK",1983,"M4.10.B cells","M4.10_BLNK"
"132","M4.10","FCER2",1985,"M4.10.B cells","M4.10_FCER2"
"133","M4.10","BLK",1993,"M4.10.B cells","M4.10_BLK"
"134","M4.11","TNFRSF17",1996,"M4.11.Plasma Cells","M4.11_TNFRSF17"
"135","M4.11","CD38",2008,"M4.11.Plasma Cells","M4.11_CD38"
"136","M4.12","CD81",2044,"M4.12","M4.12_CD81"
"137","M4.13","FOS",2125,"M4.13.Inflammation","M4.13_FOS"
"138","M4.13","TLR6",2130,"M4.13.Inflammation","M4.13_TLR6"
"139","M4.13","TNFRSF10B",2135,"M4.13.Inflammation","M4.13_TNFRSF10B"
"140","M4.13","CXCL1",2143,"M4.13.Inflammation","M4.13_CXCL1"
