"","log2 fold-change from baseline","p-value","False Discovery Rate"
"ZAP70",-1.65986619657289,8.97546673318428e-07,4.70893976088612e-05
"HLA-B",0.334263169206815,0.0412873617041571,0.0665773410955924
"CTSL",1.81767370638345,0.0197274806211282,0.0356733355640848
"MARCO",0.9139763384219,0.00146136535320063,0.00460583975061657
"PDGFRB",-0.607582680892934,0.0402928515569686,0.0654500271844526
"CD19",-0.805644976598091,0.0253819498379296,0.0440680478781232
"IFIT1",0.566884270382368,0.238328512280782,0.295527236280668
"TNFSF13",0.252900155264533,0.502143238939987,0.568426146480066
"IL12A",-0.807427485613748,0.078219013789531,0.114397834121123
"ISG15",0.650551710276199,0.0160788590518072,0.0303354474110762
"FCGR3A",-0.429375033875808,0.18758532109869,0.239668830117062
"TRAF2",-0.593936051954399,0.0110453690854896,0.0221690741219401
"TLR3",1.49021059846803,0.0131365558887341,0.0254633240856968
"CFP",1.42969802457923,3.73344677603582e-07,3.01875839319468e-05
"ITGAE",0.682208322363397,0.00908704479667206,0.0189788463281047
"RUNX1",0.666300421741177,1.24728671491391e-05,0.000167064692847213
"MME",-1.37686007962926,6.94839448883584e-05,0.00055391426488466
"CDKN1A",0.839452531976118,0.00317029179855208,0.00823112457789209
"CD8A",-1.56340203960092,4.19141108278351e-05,0.000409023909113012
"RUNX3",-0.568427295880972,4.44671942838979e-06,9.48147110304138e-05
"CD38",-0.0946026842515651,0.665443871643207,0.71333566543571
"APP",1.05658709987901,0.000215922364704611,0.00120140928853213
"CCL24",0.824101886819648,0.252460927890949,0.310636706926689
"FN1",2.53554897451099,0.000333025190203778,0.00158396855172553
"NOD1",-0.7520790359886,0.00882671210986577,0.0185721897925057
"NLRC5",-0.750780622919957,0.000111806677300424,0.000753364039905235
"ISG20",-0.931777647913091,4.65669626863794e-05,0.000439116293537265
"IKBKB",-0.189015545973586,0.246995038793896,0.304573402957179
"LILRB2",0.986978646300249,0.000187126196493835,0.00109189100222176
"SOCS1",-1.15635107645461,0.00696786090083264,0.0152244313761163
"FUT7",0.132756345975799,0.441753970100997,0.508380647458309
"TLR5",0.0628739599554653,0.847606815712856,0.870681411421917
"KIR_Inhibiting_Subgroup_2",-0.723369256233896,0.0321583252596169,0.0534026360861505
"XCR1",-0.807665489228378,0.049102939250118,0.0761431879878542
"EOMES",-1.171013418896,0.00270889586812929,0.00737132241039029
"MAP2K4",-0.117864633826628,0.63793420241717,0.689066333145264
"LTF",2.41671843998455,0.0003621992479735,0.00168036700289345
"ANP32B",0.235955040367457,0.033191464680111,0.0547707551281131
"IL2RB",-1.10843712588715,0.000204404747173578,0.00116861703939642
"PYCARD",0.601726039108009,0.00125887916333805,0.00419132709676079
"CD37",0.0692130890191376,0.541674291926697,0.604709367318561
"LAMP1",0.212364867759711,0.331993861412075,0.397531049300791
"KLRF1",-0.870696942692473,0.00114329382055187,0.00391079240217174
"CD59",-0.152738979759468,0.185599899809281,0.238748962027393
"CXCR1",-0.4129184667601,0.121598729311878,0.165444424977219
"TBK1",0.62287382294486,2.9858180213182e-05,0.000307267818193836
"BMI1",0.0878850099095726,0.617290078590102,0.67319110690173
"TXK",-1.45686464755102,0.000785656684140079,0.00304576495358414
"SERPINB2",1.03368541198194,0.238614747314956,0.295527236280668
"PPBP",-1.47787368486295,0.000434391518692674,0.0019498628530168
"BAX",0.252904655808917,0.0278499140722019,0.0474790703761033
"STAT4",-1.13918625963227,7.55348205883549e-05,0.000562990016372289
"CD28",-1.19444688441814,0.00289729958972639,0.00766295125133241
"TYK2",0.403604792362981,0.00447594196475956,0.0106893803884131
"LILRB3",0.597385328447307,0.000673595864127733,0.00270393800777515
"CXCL10",1.02743963412114,0.0103586965297626,0.0209935008375535
"CCR1",1.19464083271496,0.00458910617413047,0.0107777348321902
"ITGA6",-1.4269547102586,0.00139571462541714,0.00449786184312953
"MEFV",0.413111721331844,0.175658775284381,0.226992846600364
"MSR1",0.68935162662874,0.0450172232954982,0.0711724815230502
"ITGB3",-1.18296500805085,0.00133919146899116,0.00435622052556895
"RIPK2",1.59398332452553,1.96311798670975e-05,0.000226760159281167
"GZMM",-1.11679826228314,0.00020034863102566,0.00115711556286248
"RELA",0.115779468349656,0.441390908942512,0.508380647458309
"S100A8",0.869670613893961,0.0102103515316962,0.0207879818954678
"CSF1R",0.821147726845783,0.0563202813423316,0.0861548087561073
"CHUK",-0.0232180917792207,0.799253918722887,0.828530619042407
"LY86",1.80558635696041,3.0968030260124e-07,3.01875839319468e-05
"MYD88",0.994338032077365,1.83188312157835e-06,6.09909321654908e-05
"IFNL1",-0.630066790834405,0.0739088679698697,0.108938591851423
"LYN",0.866352554903577,7.55958325870918e-05,0.000562990016372289
"CXCL3",1.58735000218284,0.00158403660425261,0.00474372866670357
"EWSR1",0.301500208540373,0.0039600011436353,0.00974504629259817
"CSF1",-0.012488948862322,0.961940786168641,0.965351923708246
"NFKB2",-0.14271682503473,0.348952849758547,0.4158048693965
"SMAD2",-0.389903618531198,0.142692482405065,0.190481002455818
"IL11RA",-1.49945319606507,0.00273196197855222,0.00739851904239502
"GNLY",-1.04009714251687,0.000128774650451242,0.000828255138129578
"F2RL1",-0.272796541729934,0.233647995105246,0.292048683777585
"CEACAM6",1.40040435904596,0.00765565561221952,0.0164756694924572
"ENTPD1",1.70403345033326,7.49314319228431e-05,0.000562990016372289
"IFITM1",-0.76280881954911,0.0793598924419897,0.115178714270889
"BCL2L1",0.167835529199555,0.186898881310452,0.239668830117062
"RPS6",0.108694829544364,0.483082289838725,0.5479450421818
"IDO1",1.49984687796757,0.000964297706265487,0.0034326572436872
"TNFSF8",0.190719957459118,0.127962229650724,0.173269430579689
"IL1RAPL2",-0.734237000054028,0.0314197368815203,0.0527702405784584
"SH2D1B",-1.3504474203612,0.000670730793236559,0.00270393800777515
"IFIT2",-0.153765901543376,0.745070773482915,0.780944551465426
"ICAM1",0.918141344463082,0.00757373582624565,0.0163615819757826
"ITCH",0.0486354772408664,0.160354578397074,0.209608987004027
"CXCL2",1.36483307559662,0.0015680599152187,0.00472086123411587
"CXCL5",0.188752359007305,0.673884019804926,0.721017684706215
"CXCR6",-0.884872494370581,0.00327516166999914,0.00842609775099779
"NLRP3",1.35603842243905,5.51831777503942e-06,9.50082913903189e-05
"NCF4",-0.0585590355081319,0.81890341255167,0.845801699825265
"CD8B",-1.408984640041,4.88769019308263e-05,0.000439116293537265
"C1QBP",0.276162476710472,0.100021515057809,0.139783154377086
"IL12RB2",-0.860456986726342,0.0435614358176957,0.0694528807684951
"KIR_Activating_Subgroup_1",-1.03235149213978,0.00660618473641761,0.0144926378326061
"NRP1",1.69742695572507,1.06471057858744e-05,0.000160901285692666
"CAMP",1.72787774074667,0.00260786286081672,0.00716529310302069
"IL18RAP",-0.401429092162669,0.0914199444737747,0.13033674703314
"MS4A1",-1.05872112036348,0.00140657517002461,0.00449786184312953
"PIK3CG",1.04529978306625,2.92092596053923e-06,7.87259092221525e-05
"CD80",-0.0551849864892925,0.904605091566384,0.917574340190992
"IFI27",1.70386234578315,0.00318754671774868,0.00823813443947832
"SH2B2",0.814103304643356,0.00297606969437032,0.00783467649773768
"CTSS",1.08502876151961,0.000300271448094955,0.00145259521044226
"IL27",-0.00411546200908102,0.987727717909472,0.989475908560639
