"","B-cells","CD8 T cells","Cytotoxic cells","DC","Exhausted CD8","Monocytes","NK CD56dim cells","NK cells","T-cells","Th1 cells","Treg"
"107-10-004 C2D08",3.8242859212885,4.4462521698287,6.61074475922814,1.66555515503732,3.74182805186928,7.0351711859531,3.82353221781479,5.21398592466362,5.09114625962262,6.03478896470304,1.66555515503732
"107-10-004 C2D15",3.7828263350293,4.9365037960581,7.26889860692398,1.87186228758561,4.40112145969502,7.33519594506115,4.41981435084386,5.91559370821078,6.03273904521409,6.42645113926325,0.871862287585614
"107-10-004 C3D01",3.37339051507466,5.61326682051764,7.81610904790527,0,4.34840154744922,5.18138820839054,4.67669924998582,6.63837254349453,7.1790092138491,6.57985283289942,2.01506821411589
"107-10-004 C4D01",4.8022098913243,5.60571491039977,7.751423294067,1.0527606561142,4.44398636821534,4.71375851434563,4.18353313037378,5.79868720427903,6.95543894865458,6.0527606561142,3.37468875100156
"107-10-004 FUW04",4.77368727493143,5.42143285484696,7.78438083534115,0,4.53916044887917,6.54407306631981,3.89135495833463,6.18205130640234,7.15488610691144,6.23816336405313,2.19376924469468
"107-10-004 FUW12",4.92193263495047,5.78766810479572,7.83149310111097,1.89771725013732,4.03606308323027,5.66411992293308,4.55083658863821,5.95023498548647,7.19280579870614,6.54157343991205,1.89771725013732
"107-11-013 C1D01",2.99657777339347,5.20564416348277,6.93720746972061,1.85542430441222,2.85542430441222,7.15994241304207,4.08269898440347,5.37029797610925,6.77482223243569,6.37898626046924,3.27046180369107
"107-11-013 C1D08",2.99407941621363,5.4203008220067,6.27032884510754,1.40911691549247,2.87322272308539,5.82504331631421,3.71141378069531,3.73104501037983,5.85812494208801,6.19047662901713,3.21647183755008
"107-11-013 C1D15",3.83157892690851,5.13500687643493,6.98924194330082,3.98409661571554,3.10641931449173,6.49465497542469,3.88148705679847,5.12429738461748,6.84140924301862,5.82737111202808,3.06655877590751
"107-11-013 C1D22",3.44779260068037,5.53580429909755,6.53415756814411,2.18060770301229,3.51967746635637,6.78881062335447,3.87073747897609,4.35585632655436,6.70520978277349,6.12546614881983,3.31811122676223
"107-11-013 C2D01",3.28068820715652,4.83534827877536,6.63176227836051,5.08726114777323,3.6932952667371,7.08524969115589,3.6932952667371,4.82398824052531,6.59166373169582,5.87575704257952,2.62782952913593
"107-11-013 C2D08",3.06970356093382,5.35866538263612,6.67639621839905,4.18291967797611,2.9371470587635,6.52000089053532,3.58035061613303,4.70511673765533,7.02891841776764,6.38259202281247,2.50484777286347
